Wavelength,Reflectance_1,Reflectance_2,Reflectance_3,Reflectance_4,Reflectance_5
429,0.0460696779191494,0.042825523763895,0.0456726178526878,0.0429098568856716,0.0437396727502346
430,0.0426813587546349,0.0420243553817272,0.0446399338543415,0.0511731766164303,0.0424134619534016
431,0.0449465773999691,0.0438080281019211,0.0449900664389133,0.0499216057360172,0.0470093041658401
432,0.0467856451869011,0.0457328036427498,0.0463350601494312,0.0448692068457603,0.0488752201199532
433,0.0449071899056435,0.0459333546459675,0.0470278076827526,0.0425032712519169,0.0448345169425011
434,0.043908417224884,0.0444467067718506,0.0436786971986294,0.0458889901638031,0.0429402887821198
435,0.0444876812398434,0.0440851449966431,0.045742254704237,0.0469121634960175,0.0460180342197418
436,0.0452288463711739,0.0438245311379433,0.0482091158628464,0.0452805161476135,0.0491378754377365
437,0.0446279421448708,0.0425914786756039,0.0456184595823288,0.0433732978999615,0.0472787022590637
438,0.0430616438388824,0.0429269634187222,0.0449600107967854,0.0443769618868828,0.0425260215997696
439,0.0433111190795898,0.0442726165056229,0.0450115390121937,0.044644583016634,0.0425214394927025
440,0.0446255728602409,0.0449609160423279,0.044913075864315,0.0440818294882774,0.0451396107673645
441,0.044534083455801,0.0434248670935631,0.0444404147565365,0.0445261038839817,0.0435544289648533
442,0.0456416942179203,0.0440268218517303,0.0467732325196266,0.0445510298013687,0.0447447039186954
443,0.0452607870101929,0.0457430481910706,0.0487073808908463,0.0448652170598507,0.0457783490419388
444,0.0431771576404572,0.0460861399769783,0.0480667017400265,0.0456025823950768,0.0452965646982193
445,0.0429830029606819,0.0416161864995956,0.0449971631169319,0.045909509062767,0.0453322269022465
446,0.043018888682127,0.0415215827524662,0.0436264462769032,0.0448726266622543,0.0452671535313129
447,0.0437546297907829,0.0433124490082264,0.0433488376438618,0.0438953004777431,0.0440529696643353
448,0.0450040996074677,0.0432283878326416,0.0430884100496769,0.044356182217598,0.0421161390841007
449,0.0430569835007191,0.0427814200520515,0.0444134175777435,0.0459728576242924,0.0448437109589577
